State,Wildland Fires,Wildland Acres,Rx Fires,Rx Acres
AK,768,5111404,7,4953
AL,3198,47380,107,82781
AR,1837,26630,138,92278
AZ,1662,160152,224,96973
CA,8745,893362,61,46829
CO,709,22602,26,26178
CT,76,159,25,
DE,0,,,
FL,2422,73432,355,301746
GA,2331,10556,20612,986046
HI,17,5611,,
IA,533,14945,431,29719
ID,1324,804094,302,26268
IL,18,806,159,23559
KS,154,53936,42,8323
KY,774,19207,20,10162
LA,1172,21036,121,138124
MA,1525,1763,51,1050
MD,158,1078,46,1185
ME,375,574,18,84
MI,52,3806,20,13233
MN,184,30563,69,73206
MO,316,29893,5,34574
MS,229,34769,10,68914
MT,243,351264,57,44906
NC,382,15220,150,148619
ND,72,32321,3,13953
NE,5,4854,3,9089
NH,11,622,55,
NJ,101,2685,171,
NV,551,42479,3,4916
NY,186,3844,1,345
OH,69,548,2328,
OK,1309,100382,2,7161
OR,2588,685809,55,87973
PA,831,4473,22,1436
PR,947,4477,33,130
RI,86,132,23,
SC,976,3800,8194,292845
SD,1032,72985,83,22016
TN,611,8478,17,11068
TX,9272,184418,9,106193
UT,930,10203,119,19031
VA,631,6574,166,11189
VT,102,346,11,548
WA,2013,1137664,38,7062
WI,993,2970,702,43634
WV,219,912,,
WY,512,35652,7,10543
