State,Wildland Fires,Wildland Acres,Rx Fires,Rx Acres
AK,384,233561,7,59591
AL,2093,40527,132,101507
AR,1302,20164,142,134305
AZ,1543,205199,133,64905
CA,7865,555044,51,36997
CO,830,24949,23,19807
CT,28,69,34,
DE,0,,,
FL,2436,101599,471,360868
GA,3562,19199,72,53457
HI,0,0,0,0
IA,577,11347,338,19226
ID,1180,189430,321,39050
IL,36,727,114,14355
IN,54,276,36,8728
KS,68,31261,47,12327
KY,1466,43199,16,7341
LA,1005,25337,115,123754
MA,1169,1197,64,652
MD,125,1802,56,8711
ME,282,158,20,274
MI,26,716,15,16333
MN,99,4367,56,108052
MO,10,5607,4,45169
MS,9,10053,18,161125
MT,164,38118,49,53693
NC,462,15601,140,160924
ND,56,4069,7,15632
NE,3,992,2,5424
NH,6,45,1,134
NJ,96,10400,20,15171
NM,728,23440,65,36092
NV,531,59252,2,3891
NY,94,582,1,335
OH,63,684,3031,
OK,1007,157080,2,4209
OR,3087,984629,65,88887
PA,877,4519,16,695
PR,3647,16292,0,
RI,0,0,,
SC,1374,8312,892,343586
SD,918,13127,14,35505
TN,1249,156391,3,18181
TX,9677,131138,5,98247
UT,1035,28255,11,1580
VA,736,10446,2,2313
VT,53,91,11,
WA,1480,386972,9,1519
WI,613,3268,62,4079
WV,671,8286,1294,
WY,403,7836,5,6990
