State,Wildland Fires,Wildland Acres,Rx Fires,Rx Acres
AK,515,293018,20,8982
AL,3073,71311,106,73470
AR,2627,54032,195,142503
AZ,1988,1016428,204,61170
CA,7989,126854,682,59273
CO,1286,161167,236,29331
CT,196,244,7,42
FL,5102,299991,473,327178
GA,8387,149222,148,96763
HI,3,2178,1,150
IA,561,2145,463,34372
ID,1094,384103,347,43333
IL,62,2019,119,7852
IN,27,530,45,8185
KS,99,111128,49,10102
KY,1040,24961,19,12952
LA,3079,52763,130,159161
MA,1116,545,64,937
MD,131,8310,55,769
ME,308,116,13,233
MI,322,1865,142,12584
MN,1238,135650,585,103294
MO,2732,55395,340,71534
MS,2341,42036,32,17551
MT,1335,168010,384,39635
NC,5279,119482,1279,170668
ND,353,2862,99,17644
NH,139,48,16,182
NJ,708,794,137,14572
NM,1875,1286487,75,254762
NV,817,424170,32,5995
NY,47,232,12,356
OH,246,1203,4,1476
OK,2486,293381,7,2217
OR,1151,285712,703,73855
PA,204,636,26,4054
PR,775,13195,0,0
RI,30,27,6,112
SC,2703,16141,113,66007
SD,1248,97230,236,46453
TN,1170,13812,16,15477
TX,3470,2722623,20,13969
UT,1102,62783,115,16354
VA,831,20114,144,6496
VT,11,14,7,111
WA,993,17480,147,18664
WI,735,719,529,30536
WV,342,2680,5,567
WY,680,135878,35,10418
Grand,74126,8711367,8672,2112811
