State,Wildland Fires,Wildland Acres,Rx Fires,Rx Acres
AK,364,653023,8.0,64950
AL,1254,20192,13157.0,944455
AR,1706,34624,1162.0,214859
AZ,2321,429564,190.0,133878
CA,9560,"1,266224",42.0,49522
CO,967,111667,16.0,23145
CT,97,243,31.0,
DE,6,1,280.0,
FL,3280,298831,8611.0,"2,182980"
GA,3929,200785,8358.0,"1,255221"
HI,2098,,,
IA,427,7216,41.0,26015
ID,1598,686262,24.0,32815
IL,13,98,6.0,15817
IN,22,553,3.0,8064
KS,71,476306,1.0,7292
KY,892,28927,2.0,3746
LA,1064,11356,18.0,22534
MA,1216,844,4.0,1023
MD,108,2178,7.0,3751
ME,489,369,13.0,147
MI,270,736,17.0,19391
MN,1036,5553,59.0,71285
MO,3398,8459,5.0,41392
MS,2775,40595,249.0,211166
MT,2422,"1,366498",36.0,24180
NC,5125,46507,142.0,180558
ND,1086,19841,5.0,18272
NE,49,3160,3.0,18643
NH,36,123,1.0,120
NJ,735,5144,1.0,2703
NM,813,141663,7.0,91654
NV,76,"1,329289",2.0,5198
NY,5,191,2.0,564
OH,6,733,7.0,2308
OK,190,502625,2.0,6186
OR,2049,714520,27.0,4807
PA,537,1652,22.0,1861
PR,116,3405,20.0,
RI,31,30,13.0,
SC,1092,11041,889.0,342066
SD,1420,77386,20.0,56001
TN,593,6949,3.0,6780
TX,9827,734682,20.0,190451
UT,1166,249829,11.0,1851
VA,1522,20194,424.0,14238
VT,55,50,1.0,98
WA,1346,404223,4.0,5216
WI,696,661,39.0,31745
WV,520,6866,3094.0,
WY,599,90115,3.0,2900
