State,Wildland Fires,Wildland Acres,Rx Fires,Rx Acres,WFU Fires,WFU Acres
AK,308,266266,8,12039,3,317
AL,3282,55901,14766,869097,0,0
AR,2700,75506,148,112607,1,3739
AZ,3274,177427,1576,75325,33,20886
CA,8202,678919,622,67678,60,23717
CO,2023,94483,192,36661,11,0
CT,322,419,6,56,0,0
DE,30,126,7,94,0,0
FL,4292,199993,376,264541,4,97
GA,8352,40202,112,77078,0,0
HI,4,9863,0,0,0,0
IA,15,827,131,10433,0,0
ID,1831,933548,528,63459,110,39358
IL,26,1040,37,4727,0,0
IN,747,3468,406,20077,0,0
KS,147,85746,60,21162,0,0
KY,1955,60534,37,24194,0,0
LA,2256,42712,138,117679,0,0
MA,2134,2821,6,218,0,0
MD,770,6396,49,4485,0,0
ME,614,1794,23,226,0,0
MI,500,8128,131,7174,0,0
MN,2438,66540,608,79172,3,1697
MO,256,24308,82,21139,0,0
MS,7427,178973,115,92147,0,0
MT,2311,1047323,480,45059,44,15277
NC,5540,24995,238,101432,0,0
ND,1383,90794,164,31005,0,0
NE,64,7164,63,8691,0,0
NH,495,472,25,222,0,0
NJ,1599,2514,151,17275,0,0
NM,2636,607802,108,67796,19,15356
NV,1279,1349023,34,6685,13,3349
NY,249,2508,38,1748,0,0
OH,747,3866,14,1779,0,0
OK,3320,324011,4,335,0,0
OR,3251,545870,1337,112949,4,3000
PA,563,6822,2,112,0,0
PR,6,472,0,0,0,0
RI,106,120,3,36,0,0
SC,2795,14682,188,89710,0,0
SD,2342,237807,150,16508,0,0
TN,2417,36479,6,2088,0,0
TX,3062,1564170,159,138167,0,0
UT,1844,340572,72,20536,35,6338
VA,1315,19989,30,8975,0,0
VT,125,232,4,53,0,0
WA,1579,410060,200,25689,4,9288
WI,1702,2287,738,30239,0,0
WV,1038,15480,8,189,0,0
WY,712,202301,49,11799,15,22637
