State,Wildland Fires,Wildland Acres,Rx Fires,Rx Acres,WFU Fires,WFU Acres
AK,340,62648,10,3990,28,40999 
AL,3103,32447,93,93619,0,0
AR,917,10941,247,188672,1,52
AZ,1850,85496,413,132951,18,28148
CA,4108,1375781,827,87416,31,29503
CO,1131,141964,184,43048,11,2378
CT,330,893,6,68,0,0
DE,20,36,6,92,0,0
FL,2939,156102,432,402967,0,0
GA,5454,23081,152,90945,0,0
HI,0,0,0,0,0,0
IA,177,2217,5,323,0,0
ID,997,116796,511,57365,38,51671
IL,15,16,84,6231,1,2
IN,572,1064,81,13703,0,0
KS,68,64772,82,15723,0,0
KY,1552,38474,24,17395,0,0
LA,1359,17332,0,0,0,0
MA,1833,2918,7,693,0,0
MD,564,2421,26,547,0,0
ME,442,535,24,281,0,0
MI,412,2675,242,17492,0,0
MN,1136,19712,597,108402,0,0
MO,1051,9765,323,31949,0,0
MS,1898,27399,29,13412,0,0
MT,1421,166840,294,36638,26,7931
NC,4414,95938,182,57597,0,0
ND,936,38620,121,20281,0,0
NE,15,374,15,4994,0,0
NH,274,195,15,147,0,0
NJ,1237,3322,157,18701,2,1
NM,1207,487652,106,71930,9,2207
NV,452,71930,20,8399,19,10539
NY,156,3629,29,412,0,0
OH,348,1078,213,6767,0,0
OK,5572,196563,23,8426,0,0
OR,1766,136572,781,112450,14,3649
PA,733,7694,6,118,0,0
PR,11,457,0,0,0,0
RI,119,132,7,108,0,0
SC,2626,15751,170,90986,0,0
SD,957,8936,176,35524,0,0
TN,1437,23431,22,19252,0,0
TX,16713,1570586,35,15315,0,0
UT,999,28490,119,34620,21,3060
VA,1221,40653,22,19875,6,1934
VT,124,168,16,312,0,0
WA,1303,147264,83,6292,32,812
WI,895,1050,625,33849,0,0
WV,885,10296,4,723,0,0
WY,296,36941,45,10625,7,53948
