State,Wildland Fires,Wildland Acres,Rx Fires,Rx Acres,WFU Fires,WFU Acres
AK,607,4440149,4,626,15,168595
AL,1694,25456,93,74954,0,0
AR,1891,26317,191,135968,0,0
AZ,4027,975456,452,111452,19,22586
CA,7162,202754,903,95095,48,12569
CO,1364,27390,193,48213,47,7175
CT,316,263,10,130,0,0
DE,16,231,12,225,0,0
FL,2189,35922,341,294041,13,3641
GA,5573,19263,149,121443,0,0
HI,1,4,0,0,0,0
IA,94,10566,137,11274,0,0
ID,1154,442391,239,56199,90,100569
IL,27,733,36,3409,0,0
IN,1151,2568,70,11862,0,0
KS,78,21670,71,25340,0,0
KY,1795,60005,38,21721,0,0
LA,1814,47468,160,141423,0,0
MA,2173,2530,7,24,0,0
MD,444,4350,59,4472,0,0
ME,507,822,45,397,0,0
MI,680,4684,99,6017,0,0
MN,1745,24944,644,106602,2,11
MO,268,0,0,0,0,0
MS,127,5409,196,219005,0,0
MT,1316,103267,443,35727,56,33823
NC,4181,16801,264,112485,0,0
ND,355,10195,140,30486,0,0
NE,175,2670,39,7528,0,0
NH,517,172,17,140,0,0
NJ,1214,1532,137,10477,0,0
NM,1282,67036,128,85276,27,95776
NV,798,1032114,33,13580,10,141
NY,206,656,25,363,0,0
OH,565,2920,13,1887,0,0
OK,2445,146594,45,17114,0,0
OR,1820,155331,828,97065,36,36750
PA,304,1100,4,235,0,0
PR,11,992,0,0,0,0
RI,95,84,1,2,0,0
SC,2567,14436,195,88965,0,0
SD,1242,15926,127,14726,0,0
TN,1982,22857,27,22764,0,0
TX,2297,158520,147,142574,0,0
UT,1236,313932,70,20818,50,7454
VA,778,5337,48,17404,0,0
VT,244,574,14,139,0,0
WA,998,185748,231,14707,1,2
WI,1628,6311,558,29258,0,0
WV,995,2762,4,87,0,0
WY,398,17920,74,27339,23,94
