State,Wildland Fires,Wildland Acres,Rx Fires,Rx Acres
AK,416,286887,24,13226
AL,1531,24267,153,96258
AR,2389,39765,169,167275
AZ,1684,216090,243,80959
CA,7950,869599,632,56830
CO,1498,246445,133,8775
CT,180,417,4,42
FL,2227,66868,316,238175
GA,3331,19136,69,40729
HI,2,1802,0,0
IA,10,349,98,14079
ID,1149,1667654,317,31064
IL,157,1848,432,23871
IN,69,1846,49,14377
KS,71,53607,42,10991
KY,1293,35397,29,18909
LA,967,11088,149,144485
MA,1446,1027,34,334
MD,161,838,63,12341
ME,551,489,23,240
MI,777,28377,95,6146
MN,2391,64682,461,71986
MO,701,26456,60,51295
MS,10,135,9,1922
MT,2213,1220655,376,28594
NC,3463,35590,1260,156298
ND,1094,32030,115,27937
NE,149,316015,26,9064
NH,312,221,5,40
NJ,1068,3095,1,42
NM,1029,372497,59,30014
NV,944,613126,41,6310
NY,168,2127,12,323
OH,309,1250,11,1617
OK,1595,232579,9,2533
OR,963,1256049,605,60838
PA,683,3157,59,3255
RI,49,41,1,2
SC,1799,10202,9480,311917
SD,2784,274606,90,18051
TN,1158,19948,24,20522
TX,10620,179602,97,110270
UT,1534,415267,82,16432
VA,583,46481,20,13086
VT,92,405,13,320
WA,1342,259526,77,9229
WI,1536,2880,509,31402
WV,488,6703,5,1643
WY,838,357117,45,7786
