State,Wildland Fires,Wildland Acres,Rx Fires,Rx Acres,WFU Fires,WFU Acres
AK,448,525017,4,20650,58,124399
AL,3373,64262,14644,792768,0,0
AR,1290,32212,242,225344,1,3481
AZ,2240,101381,363,98593,23,10760
CA,9093,1087110,895,71403,46,1784
CO,1351,20739,174,35840,19,229
CT,361,288,7,60,0,0
DE,23,153,9,165,0,0
FL,4783,584495,467,307290,19,3215
GA,8726,837895,105,50974,0,0
HI,5,21030,0,0,0,0
IA,54,684,217,12231,0,0
ID,1473,1980552,518,47788,73,199217
IL,77,611,179,12548,0,0
IN,886,5730,277,27155,0,0
KS,75,24260,54,21194,0,0
KY,2092,60917,35,18820,0,0
LA,931,9341,145,138256,0,0
MA,2204,2687,5,46,0,0
MD,675,5790,51,4094,0,0
ME,491,423,37,196,0,0
MI,535,23344,82,7049,0,0
MN,1821,163111,603,92572,2,11
MO,165,10537,75,27532,0,0
MS,1233,16119,198,240751,0,0
MT,1875,778079,441,37166,26,44732
NC,7000,54658,186,94084,0,0
ND,953,41647,125,23969,0,0
NE,62,4074,56,9958,0,0
NH,421,212,15,187,1,0
NJ,1257,20849,133,11712,0,0
NM,1418,97750,163,54489,22,26785
NV,891,890414,27,11192,6,3631
NY,211,855,16,375,0,0
OH,576,1578,10,1643,0,0
OK,3527,70324,31,20096,0,0
OR,2561,648046,867,110876,0,0
PA,523,1047,3,40,0,0
PR,3258,18913,0,0,0,0
RI,100,61,5,110,0,0
SC,3842,17064,212,101015,0,0
SD,1505,78013,139,31522,0,0
TN,3364,48699,17,14146,0,0
TX,700,36304,193,230798,2,1
UT,1423,620730,85,36840,19,7184
VA,1569,15019,35,10350,2,407
VT,99,230,5,302,0,0
WA,1268,214925,1307,33981,3,802
WI,1458,4713,545,34134,0,0
WV,846,7149,6,450,0,0
WY,593,78004,65,26313,24,3891
