State,Wildland Fires,Wildland Acres,Rx Fires,Rx Acres
AK,689,1125419,6,505
AL,2561,24956,109,85175
AR,2353,37671,257,204808
AZ,1601,76318,255,86826
CA,6554,109529,970,72565
CO,1169,44020,306,29377
CT,69,267,6,52
CE,12,32,3,22
FL,2984,63091,537,444400
GA,4273,20137,8512,158311
HI,9,10172,0,0
IA,123,2722,110,8665
ID,984,642997,223,36652
IL,121,1330,45,7639
IN,1296,7940,65,15635
KS,51,25055,56,11642
KY,1911,60287,26,23044
LA,2374,35448,20,12395
MA,2027,2156,39,550
MD,176,1590,45,1604
ME,558,353,36,317
MI,623,12122,157,13817
MN,2067,34121,528,133466
MO,1397,22274,433,69520
MS,3354,34810,211,251726
MT,1050,56711,515,41518
NC,4213,21463,569,87446
ND,460,3854,157,29671
NE,27,1142,58,23119
NH,358,145,11,77
NJ,3616,18495,85,2537
NM,998,233056,63,61403
NV,487,23869,28,4771
OH,571,4218,16,1927
OK,1735,85770,21,10064
OR,1315,93731,836,114716
PA,583,3482,43,2242
RI,30,23,0,0
SC,1916,7568,87,13778
SD,1078,12461,204,41491
TN,1858,22149,16,10767
TX,6748,210320,144,166006
UT,1050,64781,124,22657
VA,868,8369,31,21986
VT,81,86,13,292
WA,870,56820,125,20482
WI,1318,2224,687,44650
WV,718,14701,15,2950
WY,533,80382,58,27013
