State,Wildland Fires,Wildland Acres,Rx Fires,Rx Acres,WFU Fires,WFU Acres
AK,451,559332,6,1555,1,42800
AL,1249,12260,15953,767732,0,0
AR,1751,25446,275,198568,0,0
AZ,2868,193475,446,110285,18,4209
CA,9116,793402,738,67782,126,41069
CO,2027,27655,122,22238,31,3519
CT,97,138,8,96,0,0
DE,4,22,1,20,0,0
FL,2118,34366,437,412479,10,2715
GA,3392,9794,99,80013,0,0
HI,2,6465,2,245,0,0
IA,34,3417,6,457,0,0
ID,1845,312932,535,50057,64,26719
IL,16,1346,22,952,0,0
IN,630,4344,25,8743,0,0
KS,3205,52864,91,22262,0,0
KY,956,20931,53,7033,0,0
LA,773,18147,201,142538,0,0
MA,1749,1530,24,631,0,0
MD,126,1140,22,661,0,0
ME,625,870,20,155,0,0
MI,719,7002,170,8411,0,0
MN,3376,144420,549,128795,0,0
MO,2537,49855,6,2659,0,0
MS,257,4803,288,246322,0,0
MT,2326,735619,318,26743,41,42051
NC,1930,8636,111,42803,0,0
ND,743,40498,124,20313,0,0
NE,320,3667,30,3844,0,0
NH,320,99,21,138,0,0
NJ,729,1460,51,6395,0,0
NM,1591,82528,107,56775,11,158954
NV,797,17582,13,5744,6,2
NY,115,704,9,152,0,0
OH,516,3889,53,4779,0,0
OK,1950,97500,36,5094,0,0
OR,2599,160191,1125,102236,2,250
PA,211,924,0,0,0,0
PR,0,0,0,0,0,0
RI,80,91,2,34,0,0
SC,238,2913,309,99255,0,0
SD,206,34471,17,1917,0,0
TN,957,8140,21,17836,0,0
TX,982,46827,86,61676,0,0
UT,1630,115994,52,31961,7,766
VA,429,3743,40,12458,0,0
VT,101,102,43,902,0,0
WA,1373,200517,115,18186,10,3545
WI,2320,6069,66,9071,0,0
WV,648,8094,3,221,0,0
WY,557,94514,32,32852,15,4334
